	pielou_evenness
14989.skin.hip.CMU.16.03.2016.02.25.day1	0.7287817729920569
14989.skin.hip.CMU.16.03.2016.3.day10	0.6848770786693588
14989.skin.hip.CMU.16.03.2016.3.day11	0.7515739249218681
14989.skin.hip.CMU.16.03.2016.3.day12	0.819605696672454
14989.skin.hip.CMU.16.03.2016.3.day13	0.7704746494142581
14989.skin.hip.CMU.16.03.2016.3.day15	0.7089859755446662
14989.skin.hip.CMU.16.03.2016.3.day16	0.7424069639183553
14989.skin.hip.CMU.16.03.2016.3.day17	0.5997898893618919
14989.skin.hip.CMU.16.03.2016.3.day18	0.6103191859036826
14989.skin.hip.CMU.16.03.2016.3.day2	0.6253634542643542
14989.skin.hip.CMU.16.03.2016.3.day20	0.7418168822635082
14989.skin.hip.CMU.16.03.2016.3.day21	0.7682001126599405
14989.skin.hip.CMU.16.03.2016.3.day5	0.812663172653017
14989.skin.hip.CMU.16.03.2016.3.day8	0.7325278208596168
14989.skin.hip.CMU.16.03.2016.3.day9	0.7054459721933556
14989.skin.hip.CMU.16.04.2016.mo.day1	0.5890597727393266
14989.skin.hip.CMU.16.04.2016.mo.day11	0.5384411877006092
14989.skin.hip.CMU.16.04.2016.mo.day13	0.6744893205203586
14989.skin.hip.CMU.16.04.2016.mo.day15	0.8038605579393957
14989.skin.hip.CMU.16.04.2016.mo.day16	0.6755949588298505
14989.skin.hip.CMU.16.04.2016.mo.day17	0.765847809290351
14989.skin.hip.CMU.16.04.2016.mo.day18	0.7462455633103886
14989.skin.hip.CMU.16.04.2016.mo.day19	0.7776814143747565
14989.skin.hip.CMU.16.04.2016.mo.day20	0.8071570746197788
14989.skin.hip.CMU.16.04.2016.mo.day9	0.691711323734558
14989.skin.hip.CMU.16.05.2016.mo.day1	0.7874061250543106
14989.skin.hip.CMU.16.05.2016.mo.day10	0.780459414375434
14989.skin.hip.CMU.16.05.2016.mo.day11	0.774355308435353
14989.skin.hip.CMU.16.05.2016.mo.day12	0.7420445562653648
14989.skin.hip.CMU.16.05.2016.mo.day13	0.6881668351129918
14989.skin.hip.CMU.16.05.2016.mo.day14	0.8639135650029908
14989.skin.hip.CMU.16.05.2016.mo.day15	0.8188018102688309
14989.skin.hip.CMU.16.05.2016.mo.day16	0.8274776299349624
14989.skin.hip.CMU.16.05.2016.mo.day17	0.6703573503905768
14989.skin.hip.CMU.16.05.2016.mo.day18	0.6630930819625631
14989.skin.hip.CMU.16.05.2016.mo.day19	0.6748218344996765
14989.skin.hip.CMU.16.05.2016.mo.day2	0.8099670170996459
14989.skin.hip.CMU.16.05.2016.mo.day20	0.7715817058205923
14989.skin.hip.CMU.16.05.2016.mo.day21	0.5935380419157684
14989.skin.hip.CMU.16.05.2016.mo.day3	0.7680987387660476
14989.skin.hip.CMU.16.05.2016.mo.day4	0.8271858132108582
14989.skin.hip.CMU.16.05.2016.mo.day8	0.7955331232253307
14989.skin.hip.CMU.16.05.2016.mo.day9	0.8307748673083519
14989.skin.hip.UTK.K016.01.2016.04.07.day3	0.9442293430927533
14989.skin.hip.UTK.K016.01.2016.04.11.day7	0.793392145699432
14989.skin.hip.UTK.K016.01.2016.04.12.day8	0.7196666613038214
14989.skin.hip.UTK.K016.01.2016.04.13.day9	0.7482961833782602
14989.skin.hip.UTK.K016.01.2016.04.14.day10	0.7048278519708268
14989.skin.hip.UTK.K016.01.2016.04.15.day11	0.7781296356164854
14989.skin.hip.UTK.K016.01.2016.04.16.day12	0.6327548344788557
14989.skin.hip.UTK.K016.02.2016.04.13.day1	0.2975167500330071
14989.skin.hip.UTK.K016.02.2016.04.14.day2	0.6086843285382043
14989.skin.hip.UTK.K016.02.2016.04.15.day3	0.6052110414872691
14989.skin.hip.UTK.K016.02.2016.04.16.day4	0.7765655495334605
14989.skin.hip.UTK.K016.02.2016.04.17.day5	0.7712778964336744
14989.skin.hip.UTK.K016.02.2016.04.18.day6	0.8176432305269873
14989.soil.hip.CMU.16.03.2016.3.day1	0.7519008961926718
14989.soil.hip.CMU.16.03.2016.3.day11	0.7311235822289659
14989.soil.hip.CMU.16.03.2016.3.day12	0.5761400916712279
14989.soil.hip.CMU.16.03.2016.3.day13	0.7104859178645745
14989.soil.hip.CMU.16.03.2016.3.day14	0.8643470616397557
14989.soil.hip.CMU.16.03.2016.3.day16	0.8826014231154756
14989.soil.hip.CMU.16.03.2016.3.day19	0.7600639282540551
14989.soil.hip.CMU.16.03.2016.3.day2	0.6743815487750515
14989.soil.hip.CMU.16.03.2016.3.day20	0.899793734699776
14989.soil.hip.CMU.16.03.2016.3.day21	0.7610390163886279
14989.soil.hip.CMU.16.03.2016.3.day3	0.8028131409226634
14989.soil.hip.CMU.16.03.2016.3.day4	0.7867757206708902
14989.soil.hip.CMU.16.03.2016.3.day5	0.9124243468424016
14989.soil.hip.CMU.16.03.2016.3.day7	0.8702943908893379
14989.soil.hip.CMU.16.03.2016.3.day8	0.8512937471425233
14989.soil.hip.CMU.16.03.2016.3.day9	0.6492381477893219
14989.soil.hip.CMU.16.04.2016.mo.day1	0.7682808835419317
14989.soil.hip.CMU.16.04.2016.mo.day11	0.8371153571756116
14989.soil.hip.CMU.16.04.2016.mo.day12	0.7755630703722906
14989.soil.hip.CMU.16.04.2016.mo.day13	0.7855599550549194
14989.soil.hip.CMU.16.04.2016.mo.day14	0.8202741874124243
14989.soil.hip.CMU.16.04.2016.mo.day15	0.8206342340636161
14989.soil.hip.CMU.16.04.2016.mo.day16	0.8832075936248309
14989.soil.hip.CMU.16.04.2016.mo.day17	0.49640131988260444
14989.soil.hip.CMU.16.04.2016.mo.day18	0.8036521535822119
14989.soil.hip.CMU.16.04.2016.mo.day2	0.814832498479186
14989.soil.hip.CMU.16.04.2016.mo.day21	0.7821769427245385
14989.soil.hip.CMU.16.04.2016.mo.day4	0.6383142011646825
14989.soil.hip.CMU.16.04.2016.mo.day5	0.7360523943403989
14989.soil.hip.CMU.16.04.2016.mo.day6	0.6976682171794013
14989.soil.hip.CMU.16.04.2016.mo.day7	0.939964452369721
14989.soil.hip.CMU.16.04.2016.mo.day8	0.8680276916767755
14989.soil.hip.CMU.16.04.2016.mo.day9	0.8107709325245998
14989.soil.hip.CMU.16.05.2016.mo.day1	0.7581445582110004
14989.soil.hip.CMU.16.05.2016.mo.day10	0.7949995054702137
14989.soil.hip.CMU.16.05.2016.mo.day12	0.6836586468963323
14989.soil.hip.CMU.16.05.2016.mo.day13	0.8815486811823384
14989.soil.hip.CMU.16.05.2016.mo.day14	0.657682847551815
14989.soil.hip.CMU.16.05.2016.mo.day16	0.8569243365647801
14989.soil.hip.CMU.16.05.2016.mo.day18	0.7935484929028708
14989.soil.hip.CMU.16.05.2016.mo.day19	0.7703602984997775
14989.soil.hip.CMU.16.05.2016.mo.day2	0.865786305124136
14989.soil.hip.CMU.16.05.2016.mo.day21	0.773636065708703
14989.soil.hip.CMU.16.05.2016.mo.day3	0.8539534837805737
14989.soil.hip.CMU.16.05.2016.mo.day4	0.8573078216681145
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	0.9178005652775267
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	0.816980394282303
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	0.6870108436385945
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	0.8110526936283691
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	0.9238682861403186
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	0.9296110570874951
