	faith_pd
14989.skin.hip.CMU.16.03.2016.02.25.day1	19.37142644850915
14989.skin.hip.CMU.16.03.2016.3.day10	14.00337543657188
14989.skin.hip.CMU.16.03.2016.3.day11	11.56910002626614
14989.skin.hip.CMU.16.03.2016.3.day12	11.69132034998773
14989.skin.hip.CMU.16.03.2016.3.day13	20.45491752766456
14989.skin.hip.CMU.16.03.2016.3.day15	16.30306095947566
14989.skin.hip.CMU.16.03.2016.3.day16	13.29670888653787
14989.skin.hip.CMU.16.03.2016.3.day17	8.116116411094753
14989.skin.hip.CMU.16.03.2016.3.day18	10.09402603876087
14989.skin.hip.CMU.16.03.2016.3.day2	11.40757422256294
14989.skin.hip.CMU.16.03.2016.3.day20	12.09339394114203
14989.skin.hip.CMU.16.03.2016.3.day21	12.57669990512226
14989.skin.hip.CMU.16.03.2016.3.day5	13.79869683059707
14989.skin.hip.CMU.16.03.2016.3.day8	13.43174183995401
14989.skin.hip.CMU.16.03.2016.3.day9	25.93572549162121
14989.skin.hip.CMU.16.04.2016.mo.day1	12.61977917770105
14989.skin.hip.CMU.16.04.2016.mo.day11	7.918071925152036
14989.skin.hip.CMU.16.04.2016.mo.day13	13.51127640798534
14989.skin.hip.CMU.16.04.2016.mo.day15	8.548316547775856
14989.skin.hip.CMU.16.04.2016.mo.day16	19.27038122359743
14989.skin.hip.CMU.16.04.2016.mo.day17	10.50479722043882
14989.skin.hip.CMU.16.04.2016.mo.day18	13.89516139300621
14989.skin.hip.CMU.16.04.2016.mo.day19	9.87820987046557
14989.skin.hip.CMU.16.04.2016.mo.day20	10.94197710854125
14989.skin.hip.CMU.16.04.2016.mo.day9	22.59462074653224
14989.skin.hip.CMU.16.05.2016.mo.day1	14.74478760258601
14989.skin.hip.CMU.16.05.2016.mo.day10	22.00702028243417
14989.skin.hip.CMU.16.05.2016.mo.day11	18.82142355571159
14989.skin.hip.CMU.16.05.2016.mo.day12	8.78500887962723
14989.skin.hip.CMU.16.05.2016.mo.day13	11.72888927143573
14989.skin.hip.CMU.16.05.2016.mo.day14	9.444957566364836
14989.skin.hip.CMU.16.05.2016.mo.day15	12.04872115755471
14989.skin.hip.CMU.16.05.2016.mo.day16	10.05672313145418
14989.skin.hip.CMU.16.05.2016.mo.day17	8.306116434114346
14989.skin.hip.CMU.16.05.2016.mo.day18	6.623374434424862
14989.skin.hip.CMU.16.05.2016.mo.day19	16.62334108725634
14989.skin.hip.CMU.16.05.2016.mo.day2	22.26125000848054
14989.skin.hip.CMU.16.05.2016.mo.day20	9.890479718730877
14989.skin.hip.CMU.16.05.2016.mo.day21	10.97284764418093
14989.skin.hip.CMU.16.05.2016.mo.day3	25.42961737604885
14989.skin.hip.CMU.16.05.2016.mo.day4	25.14892565359489
14989.skin.hip.CMU.16.05.2016.mo.day8	16.62133659790554
14989.skin.hip.CMU.16.05.2016.mo.day9	14.95976347210092
14989.skin.hip.UTK.K016.01.2016.04.07.day3	46.62338613827797
14989.skin.hip.UTK.K016.01.2016.04.11.day7	7.117002950855806
14989.skin.hip.UTK.K016.01.2016.04.12.day8	7.433005793889834
14989.skin.hip.UTK.K016.01.2016.04.13.day9	12.63164887104176
14989.skin.hip.UTK.K016.01.2016.04.14.day10	13.58629138461862
14989.skin.hip.UTK.K016.01.2016.04.15.day11	16.4331342979799
14989.skin.hip.UTK.K016.01.2016.04.16.day12	12.20323748764156
14989.skin.hip.UTK.K016.02.2016.04.13.day1	8.340775282139703
14989.skin.hip.UTK.K016.02.2016.04.14.day2	6.29563905743521
14989.skin.hip.UTK.K016.02.2016.04.15.day3	9.29575504045986
14989.skin.hip.UTK.K016.02.2016.04.16.day4	11.1932243606439
14989.skin.hip.UTK.K016.02.2016.04.17.day5	8.640410737221373
14989.skin.hip.UTK.K016.02.2016.04.18.day6	12.83180289416009
14989.soil.hip.CMU.16.03.2016.3.day1	14.6956388043651
14989.soil.hip.CMU.16.03.2016.3.day11	24.20699088419975
14989.soil.hip.CMU.16.03.2016.3.day12	19.49356883686089
14989.soil.hip.CMU.16.03.2016.3.day13	23.76553651687124
14989.soil.hip.CMU.16.03.2016.3.day14	26.96827949334933
14989.soil.hip.CMU.16.03.2016.3.day16	40.83368161944669
14989.soil.hip.CMU.16.03.2016.3.day19	23.65582568011679
14989.soil.hip.CMU.16.03.2016.3.day2	14.26143051873646
14989.soil.hip.CMU.16.03.2016.3.day20	30.2741658982093
14989.soil.hip.CMU.16.03.2016.3.day21	17.75506795680916
14989.soil.hip.CMU.16.03.2016.3.day3	25.02154832778567
14989.soil.hip.CMU.16.03.2016.3.day4	18.79800056763136
14989.soil.hip.CMU.16.03.2016.3.day5	36.29140104465641
14989.soil.hip.CMU.16.03.2016.3.day7	31.83178708725968
14989.soil.hip.CMU.16.03.2016.3.day8	25.95978087438426
14989.soil.hip.CMU.16.03.2016.3.day9	26.26100515065532
14989.soil.hip.CMU.16.04.2016.mo.day1	35.90080590738758
14989.soil.hip.CMU.16.04.2016.mo.day11	25.32257019769287
14989.soil.hip.CMU.16.04.2016.mo.day12	39.43168603292423
14989.soil.hip.CMU.16.04.2016.mo.day13	37.87002031292249
14989.soil.hip.CMU.16.04.2016.mo.day14	29.6681339760608
14989.soil.hip.CMU.16.04.2016.mo.day15	19.93247752352789
14989.soil.hip.CMU.16.04.2016.mo.day16	29.09416603979503
14989.soil.hip.CMU.16.04.2016.mo.day17	13.07599949948326
14989.soil.hip.CMU.16.04.2016.mo.day18	36.96217615737748
14989.soil.hip.CMU.16.04.2016.mo.day2	26.79667829519178
14989.soil.hip.CMU.16.04.2016.mo.day21	30.45106610579096
14989.soil.hip.CMU.16.04.2016.mo.day4	27.8467486720283
14989.soil.hip.CMU.16.04.2016.mo.day5	38.34122665454987
14989.soil.hip.CMU.16.04.2016.mo.day6	22.06945213913619
14989.soil.hip.CMU.16.04.2016.mo.day7	27.68347152017526
14989.soil.hip.CMU.16.04.2016.mo.day8	33.78452438712822
14989.soil.hip.CMU.16.04.2016.mo.day9	36.83821904739821
14989.soil.hip.CMU.16.05.2016.mo.day1	27.77282202062385
14989.soil.hip.CMU.16.05.2016.mo.day10	20.37882552054806
14989.soil.hip.CMU.16.05.2016.mo.day12	19.50286261972224
14989.soil.hip.CMU.16.05.2016.mo.day13	24.18497309895152
14989.soil.hip.CMU.16.05.2016.mo.day14	23.88508577183016
14989.soil.hip.CMU.16.05.2016.mo.day16	24.32505503805302
14989.soil.hip.CMU.16.05.2016.mo.day18	25.66579510040333
14989.soil.hip.CMU.16.05.2016.mo.day19	27.62706594675275
14989.soil.hip.CMU.16.05.2016.mo.day2	26.98983066347758
14989.soil.hip.CMU.16.05.2016.mo.day21	11.67844235142808
14989.soil.hip.CMU.16.05.2016.mo.day3	27.35530346483678
14989.soil.hip.CMU.16.05.2016.mo.day4	43.05199883613302
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	23.87567766489435
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	18.93128758747917
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	11.90846040924036
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	9.833389076862192
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	26.89668284611128
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	33.32779520285141
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	13.97110625315661
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	23.06267792976847
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	9.915778925452331
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	15.24353194086273
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	25.76353655304268
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	30.74263696818642
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	18.0957840603645
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	11.73229332313405
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	15.74258814513478
