	observed_features
14989.skin.hip.CMU.16.03.2016.02.25.day1	65
14989.skin.hip.CMU.16.03.2016.3.day10	55
14989.skin.hip.CMU.16.03.2016.3.day11	32
14989.skin.hip.CMU.16.03.2016.3.day12	30
14989.skin.hip.CMU.16.03.2016.3.day13	72
14989.skin.hip.CMU.16.03.2016.3.day15	38
14989.skin.hip.CMU.16.03.2016.3.day16	50
14989.skin.hip.CMU.16.03.2016.3.day17	27
14989.skin.hip.CMU.16.03.2016.3.day18	25
14989.skin.hip.CMU.16.03.2016.3.day2	36
14989.skin.hip.CMU.16.03.2016.3.day20	46
14989.skin.hip.CMU.16.03.2016.3.day21	46
14989.skin.hip.CMU.16.03.2016.3.day5	31
14989.skin.hip.CMU.16.03.2016.3.day8	36
14989.skin.hip.CMU.16.03.2016.3.day9	78
14989.skin.hip.CMU.16.04.2016.mo.day1	40
14989.skin.hip.CMU.16.04.2016.mo.day11	20
14989.skin.hip.CMU.16.04.2016.mo.day13	36
14989.skin.hip.CMU.16.04.2016.mo.day15	20
14989.skin.hip.CMU.16.04.2016.mo.day16	62
14989.skin.hip.CMU.16.04.2016.mo.day17	32
14989.skin.hip.CMU.16.04.2016.mo.day18	49
14989.skin.hip.CMU.16.04.2016.mo.day19	28
14989.skin.hip.CMU.16.04.2016.mo.day20	34
14989.skin.hip.CMU.16.04.2016.mo.day9	76
14989.skin.hip.CMU.16.05.2016.mo.day1	62
14989.skin.hip.CMU.16.05.2016.mo.day10	55
14989.skin.hip.CMU.16.05.2016.mo.day11	66
14989.skin.hip.CMU.16.05.2016.mo.day12	34
14989.skin.hip.CMU.16.05.2016.mo.day13	42
14989.skin.hip.CMU.16.05.2016.mo.day14	30
14989.skin.hip.CMU.16.05.2016.mo.day15	39
14989.skin.hip.CMU.16.05.2016.mo.day16	35
14989.skin.hip.CMU.16.05.2016.mo.day17	27
14989.skin.hip.CMU.16.05.2016.mo.day18	18
14989.skin.hip.CMU.16.05.2016.mo.day19	45
14989.skin.hip.CMU.16.05.2016.mo.day2	76
14989.skin.hip.CMU.16.05.2016.mo.day20	32
14989.skin.hip.CMU.16.05.2016.mo.day21	31
14989.skin.hip.CMU.16.05.2016.mo.day3	96
14989.skin.hip.CMU.16.05.2016.mo.day4	93
14989.skin.hip.CMU.16.05.2016.mo.day8	55
14989.skin.hip.CMU.16.05.2016.mo.day9	42
14989.skin.hip.UTK.K016.01.2016.04.07.day3	144
14989.skin.hip.UTK.K016.01.2016.04.11.day7	25
14989.skin.hip.UTK.K016.01.2016.04.12.day8	21
14989.skin.hip.UTK.K016.01.2016.04.13.day9	50
14989.skin.hip.UTK.K016.01.2016.04.14.day10	47
14989.skin.hip.UTK.K016.01.2016.04.15.day11	63
14989.skin.hip.UTK.K016.01.2016.04.16.day12	51
14989.skin.hip.UTK.K016.02.2016.04.13.day1	20
14989.skin.hip.UTK.K016.02.2016.04.14.day2	13
14989.skin.hip.UTK.K016.02.2016.04.15.day3	22
14989.skin.hip.UTK.K016.02.2016.04.16.day4	30
14989.skin.hip.UTK.K016.02.2016.04.17.day5	20
14989.skin.hip.UTK.K016.02.2016.04.18.day6	38
14989.soil.hip.CMU.16.03.2016.3.day1	47
14989.soil.hip.CMU.16.03.2016.3.day11	93
14989.soil.hip.CMU.16.03.2016.3.day12	57
14989.soil.hip.CMU.16.03.2016.3.day13	88
14989.soil.hip.CMU.16.03.2016.3.day14	104
14989.soil.hip.CMU.16.03.2016.3.day16	170
14989.soil.hip.CMU.16.03.2016.3.day19	71
14989.soil.hip.CMU.16.03.2016.3.day2	39
14989.soil.hip.CMU.16.03.2016.3.day20	110
14989.soil.hip.CMU.16.03.2016.3.day21	59
14989.soil.hip.CMU.16.03.2016.3.day3	79
14989.soil.hip.CMU.16.03.2016.3.day4	56
14989.soil.hip.CMU.16.03.2016.3.day5	121
14989.soil.hip.CMU.16.03.2016.3.day7	89
14989.soil.hip.CMU.16.03.2016.3.day8	92
14989.soil.hip.CMU.16.03.2016.3.day9	98
14989.soil.hip.CMU.16.04.2016.mo.day1	105
14989.soil.hip.CMU.16.04.2016.mo.day11	70
14989.soil.hip.CMU.16.04.2016.mo.day12	151
14989.soil.hip.CMU.16.04.2016.mo.day13	115
14989.soil.hip.CMU.16.04.2016.mo.day14	106
14989.soil.hip.CMU.16.04.2016.mo.day15	45
14989.soil.hip.CMU.16.04.2016.mo.day16	81
14989.soil.hip.CMU.16.04.2016.mo.day17	32
14989.soil.hip.CMU.16.04.2016.mo.day18	137
14989.soil.hip.CMU.16.04.2016.mo.day2	74
14989.soil.hip.CMU.16.04.2016.mo.day21	89
14989.soil.hip.CMU.16.04.2016.mo.day4	89
14989.soil.hip.CMU.16.04.2016.mo.day5	127
14989.soil.hip.CMU.16.04.2016.mo.day6	60
14989.soil.hip.CMU.16.04.2016.mo.day7	87
14989.soil.hip.CMU.16.04.2016.mo.day8	118
14989.soil.hip.CMU.16.04.2016.mo.day9	129
14989.soil.hip.CMU.16.05.2016.mo.day1	100
14989.soil.hip.CMU.16.05.2016.mo.day10	59
14989.soil.hip.CMU.16.05.2016.mo.day12	61
14989.soil.hip.CMU.16.05.2016.mo.day13	62
14989.soil.hip.CMU.16.05.2016.mo.day14	69
14989.soil.hip.CMU.16.05.2016.mo.day16	71
14989.soil.hip.CMU.16.05.2016.mo.day18	73
14989.soil.hip.CMU.16.05.2016.mo.day19	78
14989.soil.hip.CMU.16.05.2016.mo.day2	90
14989.soil.hip.CMU.16.05.2016.mo.day21	35
14989.soil.hip.CMU.16.05.2016.mo.day3	90
14989.soil.hip.CMU.16.05.2016.mo.day4	183
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	68
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	52
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	32
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	32
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	82
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	115
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	26
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	94
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	27
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	60
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	92
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	97
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	61
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	32
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	48
14989.soil.hip.UTK.K016.01.2016.04.05.day1	103
14989.soil.hip.UTK.K016.01.2016.04.06.day2	151
14989.soil.hip.UTK.K016.01.2016.04.08.day4	90
14989.soil.hip.UTK.K016.01.2016.04.09.day5	60
14989.soil.hip.UTK.K016.01.2016.04.10.day6	103
14989.soil.hip.UTK.K016.01.2016.04.11.day7	178
14989.soil.hip.UTK.K016.01.2016.04.12.day8	152
14989.soil.hip.UTK.K016.01.2016.04.13.day9	113
