	shannon_entropy
14989.skin.hip.CMU.16.03.2016.02.25.day1	4.388991892389173
14989.skin.hip.CMU.16.03.2016.3.day10	3.95952075133549
14989.skin.hip.CMU.16.03.2016.3.day11	3.757869624609341
14989.skin.hip.CMU.16.03.2016.3.day12	4.021715485109233
14989.skin.hip.CMU.16.03.2016.3.day13	4.753770802398532
14989.skin.hip.CMU.16.03.2016.3.day15	3.7207070077064954
14989.skin.hip.CMU.16.03.2016.3.day16	4.190038138642469
14989.skin.hip.CMU.16.03.2016.3.day17	2.8519334488508696
14989.skin.hip.CMU.16.03.2016.3.day18	2.8342345291970874
14989.skin.hip.CMU.16.03.2016.3.day2	3.233082157189611
14989.skin.hip.CMU.16.03.2016.3.day20	4.097471509231538
14989.skin.hip.CMU.16.03.2016.3.day21	4.243200916927159
14989.skin.hip.CMU.16.03.2016.3.day5	4.026092891544869
14989.skin.hip.CMU.16.03.2016.3.day8	3.7871138953141883
14989.skin.hip.CMU.16.03.2016.3.day9	4.434011678911554
14989.skin.hip.CMU.16.04.2016.mo.day1	3.134933754109387
14989.skin.hip.CMU.16.04.2016.mo.day11	2.327104096567783
14989.skin.hip.CMU.16.04.2016.mo.day13	3.487059201364039
14989.skin.hip.CMU.16.04.2016.mo.day15	3.4742275297301046
14989.skin.hip.CMU.16.04.2016.mo.day16	4.022625011180669
14989.skin.hip.CMU.16.04.2016.mo.day17	3.829239046451755
14989.skin.hip.CMU.16.04.2016.mo.day18	4.189952310446138
14989.skin.hip.CMU.16.04.2016.mo.day19	3.738590575187205
14989.skin.hip.CMU.16.04.2016.mo.day20	4.106381624180452
14989.skin.hip.CMU.16.04.2016.mo.day9	4.321762210921628
14989.skin.hip.CMU.16.05.2016.mo.day1	4.688370644574404
14989.skin.hip.CMU.16.05.2016.mo.day10	4.512116616311182
14989.skin.hip.CMU.16.05.2016.mo.day11	4.680508672600649
14989.skin.hip.CMU.16.05.2016.mo.day12	3.775124106552141
14989.skin.hip.CMU.16.05.2016.mo.day13	3.7108140147583044
14989.skin.hip.CMU.16.05.2016.mo.day14	4.239129347531804
14989.skin.hip.CMU.16.05.2016.mo.day15	4.327696904803305
